Arquivo,TP_320,FP_320,FN_320,TP_1024,FP_1024,FN_1024,Observacoes
PROVA_ARMS_002_L_raw_debug.png,1,0,3,3,0,1,titulo nao foi contado para ambos
PROVA_ARMS_007_L_raw_debug.png,7,0,4,8,0,2,
PROVA_ARMS_007_R_raw_debug.png,2,0,0,1,0,1,
PROVA_AisazuNihaIrarenai_005_L_raw_debug.png,15,0,0,15,1,0,
PROVA_AisazuNihaIrarenai_005_R_raw_debug.png,15,0,1,16,0,0,
PROVA_AisazuNihaIrarenai_079_L_raw_debug.png,12,0,1,12,0,1,
PROVA_AisazuNihaIrarenai_079_R_raw_debug.png,12,0,0,12,0,0,
PROVA_AkkeraKanjinchou_026_L_raw_debug.png,8,0,1,9,0,0,
PROVA_AkkeraKanjinchou_026_R_raw_debug.png,1,0,1,1,0,1,
PROVA_AkkeraKanjinchou_050_L_raw_debug.png,11,1,2,11,1,1,
PROVA_AkkeraKanjinchou_050_R_raw_debug.png,8,0,1,9,0,0,
PROVA_Akuhamu_001_L_raw_debug.png,6,0,0,6,0,0,
PROVA_Akuhamu_020_L_raw_debug.png,10,2,0,10,0,0,FP + 2 Por box duplos
PROVA_Akuhamu_020_R_raw_debug.png,12,0,0,12,0,0,Onomatopeia ignorada na contagem
PROVA_AosugiruHaru_044_L_raw_debug.png,5,0,0,5,0,0,
PROVA_AosugiruHaru_044_R_raw_debug.png,7,1,4,9,0,2,
PROVA_AosugiruHaru_086_L_raw_debug.png,0,0,1,0,0,1,
PROVA_AosugiruHaru_086_R_raw_debug.png,8,3,3,10,0,0,
PROVA_AppareKappore_012_L_raw_debug.png,10,0,2,11,0,1,
PROVA_AppareKappore_012_R_raw_debug.png,11,0,0,11,0,0,
PROVA_Arisa_028_L_raw_debug.png,9,0,0,9,0,0,
PROVA_Arisa_028_R_raw_debug.png,2,0,0,2,0,0,
PROVA_Arisa_077_L_raw_debug.png,12,0,0,13,0,1,FN +1 por conta do bloco om dois dentro
PROVA_Arisa_077_R_raw_debug.png,8,0,1,8,0,0,
PROVA_BEMADER_P_065_L_raw_debug.png,7,0,0,7,0,0,
PROVA_BEMADER_P_065_R_raw_debug.png,3,1,0,3,0,0,
PROVA_BakuretsuKungFuGirl_032_L_raw_debug.png,0,0,3,0,0,3,
PROVA_BakuretsuKungFuGirl_032_R_raw_debug.png,10,0,3,11,2,2,
PROVA_BakuretsuKungFuGirl_035_L_raw_debug.png,11,3,4,15,4,0,
